Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-05-12,"4,000","15,492",12.12,37,611,227,73,84,"2,448",12:35AM,8:00AM,398,47,23,445,111,203,84
2022-05-13,"2,884","10,008",7.86,5,826,116,14,64,"1,208",2:43AM,9:43AM,366,54,23,420,60,238,68
2022-05-14,"3,840","16,590",12.97,31,679,306,49,59,"2,411",4:09AM,9:57AM,308,39,16,347,87,142,79
2022-05-15,"4,255","18,629",14.57,15,625,429,43,58,"2,948",4:15AM,9:01AM,259,26,12,285,72,134,53
2022-05-16,"4,120","14,612",11.47,9,548,318,100,52,"2,738",12:56AM,7:58AM,373,49,22,422,102,224,47
2022-05-17,"3,069","9,434",7.41,7,752,260,12,3,"1,413",1:25AM,8:19AM,373,40,12,413,85,257,31
2022-05-18,"4,245","18,223",14.31,15,664,240,68,127,"2,834",4:15AM,9:56AM,304,37,14,341,97,191,16
2022-05-19,"3,117","9,992",7.81,9,786,255,21,17,"1,477",1:52AM,7:53AM,333,27,1,361,,,
2022-05-20,"4,282","21,110",16.39,54,581,267,39,125,"2,849",12:51AM,7:59AM,380,48,20,428,99,231,50
2022-05-21,"4,216","18,705",14.65,27,671,263,62,104,"2,732",4:49AM,10:29AM,328,12,2,340,,,
2022-05-22,"2,608","4,594",3.61,3,881,188,16,3,885,3:06AM,8:58AM,348,4,1,352,,,
2022-05-23,"4,090","17,344",13.6,13,584,232,98,96,"2,629",12:36AM,7:46AM,376,54,23,430,94,234,48
2022-05-24,"3,298","10,891",8.55,8,748,257,23,26,"1,642",2:31AM,8:57AM,341,45,18,386,71,208,62
2022-05-25,"3,601","16,626",13.05,7,713,222,32,109,"2,108",12:55AM,6:59AM,320,44,16,364,65,232,23
2022-05-26,"3,480","13,075",10.23,4,729,262,38,49,"1,933",1:51AM,7:53AM,341,20,1,362,,,
2022-05-27,"4,658","16,519",12.88,14,568,223,137,136,"3,294",1:35AM,7:51AM,338,38,23,376,57,188,93
2022-05-28,"4,915","23,924",18.77,27,566,218,156,172,"3,690",2:27AM,7:55AM,289,39,16,328,31,217,41
2022-05-29,"3,510","11,109",8.72,58,710,243,47,42,"1,871",4:15AM,10:53AM,351,47,13,398,96,210,45
2022-05-30,"3,225","10,334",8.06,12,808,218,39,30,"1,538",12:13AM,5:58AM,313,32,15,345,62,220,31
